Department: Computer Science
Location: Technology Hall

Courses Offered

	CS 128, CS 130, CS 139, CS 156, CS 171
	CS 181, CS 184, CS 187, CS 201, CS 205
	CS 207, CS 211, CS 220, CS 230, CS 240
	CS 274, CS 314, CS 322, CS 332, CS 335
	CS 337, CS 341, CS 343, CS 345, CS 350
	CS 355, CS 360, CS 370, CS 372, CS 384
	CS 394, CS 404, CS 423, CS 428, CS 449
	CS 458, CS 465, CS 482, CS 516, CS 540
	CS 542, CS 563, CS 564, CS 574, CS 577
	CS 386, CS 489, CS 562, CS 129, CS 218
	CS 398, CS 359, CS 431, CS 571, CS 137
	CS 231, CS 389, CS 339, CS 400, CS 584
	CS 148, CS 284, CS 300, CS 358, CS 422
	CS 549, CS 143, CS 247, CS 342, CS 340
	CS 484, CS 534, CS 163, CS 212, CS 371
	CS 373, CS 480, CS 512, CS 178, CS 283
	CS 396, CS 353, CS 407, CS 568, CS 186
	CS 293, CS 306, CS 311, CS 432, CS 528


Classroom Preferences:
	CS 156 must be taught in Technology Hall, room 453
	CS 181 must be taught in Technology Hall, room 131
	CS 240 must be taught in Technology Hall, room 452
	CS 332 must be taught in Technology Hall, room 343
	CS 345 must be taught in Technology Hall, room 451
	CS 360 must be taught in Technology Hall, room 241
	CS 370 must be taught in Technology Hall, room 133
	CS 458 must be taught in Technology Hall, room 454
	CS 563 must be taught in Technology Hall, room 454


Faculty Assignments:
Dr. Able, CS 130, CS 207, CS 343 - Preference: None
Dr. Bravo, CS 337, CS 449, CS 542 - Preference: Evening classes only
Dr. Charlie, CS 171, CS 205, CS 355 - Preference: None
Dr. Dog, CS 350, CS 428, CS 574 - Preference: None
Dr. Echo, CS 184, CS 274, CS 384 - Preference: None
Dr. Foxtrot, CS 314, CS 423, CS 516 - Preference: None
Dr. Golf, CS 156, CS 220, CS 394 - Preference: None
Dr. Hotel, CS 370, CS 465, CS 540 - Preference: Morning classes only
Dr. India, CS 181, CS 211, CS 345 - Preference: All Mon-Wed classes
Dr. Juliet, CS 360, CS 458, CS 563 - Preference: None
Dr. Kilo, CS 128, CS 201, CS 335 - Preference: Morning classes only
Dr. Lima, CS 372, CS 482, CS 564 - Preference: None
Dr. Mike, CS 139, CS 230, CS 332 - Preference: None
Dr. November, CS 341, CS 404, CS 577 - Preference: None
Dr. Oscar, CS 187, CS 240, CS 322 - Preference: None
Dr. Papa, CS 386, CS 489, CS 562 - Preference: None
Dr. Quebec, CS 129, CS 218, CS 398 - Preference: None
Dr. Romeo, CS 359, CS 431, CS 571 - Preference: None
Dr. Sierra, CS 137, CS 231, CS 389 - Preference: None
Dr. Tango, CS 339, CS 400, CS 584 - Preference: Evening classes only
Dr. Uniform, CS 148, CS 284, CS 300 - Preference: All Mon-Wed classes
Dr. Victor, CS 358, CS 422, CS 549 - Preference: None
Dr. Whiskey, CS 143, CS 247, CS 342 - Preference: All Mon-Wed classes
Dr. Xray, CS 340, CS 484, CS 534 - Preference: Morning classes only
Dr. Yankee, CS 163, CS 212, CS 371 - Preference: All Mon-Wed classes
Dr. Zulu, CS 373, CS 480, CS 512 - Preference: None
Dr. Chad, CS 178, CS 283, CS 396 - Preference: None
Dr. Broham, CS 353, CS 407, CS 568 - Preference: None
Dr. Guy, CS 186, CS 293, CS 306 - Preference: None
Dr. Dude, CS 311, CS 432, CS 528 - Preference: Evening classes only
